id,order_id,service_name,started_at,completed_at,duration_ms,retry_count,outcome
d1a1ec16-87d5-4584-8477-ff9679e68bdc,23346632-7754-40db-9b82-90327c8733e1,payment,2026-06-17T06:43:59.513918Z,2026-06-17T06:43:59.741862Z,228,0,SUCCESS
0c28d04f-b2a7-404f-b8f6-491616b9758d,23346632-7754-40db-9b82-90327c8733e1,kitchen,2026-06-17T06:43:59.704339Z,2026-06-17T06:43:59.963302Z,259,0,SUCCESS
6e8c42a8-b67d-4f40-b76d-6727089a2d74,9caa3018-8bcd-4025-b13a-bb490512da56,payment,2026-06-17T06:43:59.751218Z,2026-06-17T06:44:00.100056Z,349,0,SUCCESS
fc88059d-6a54-4951-b27d-8107148c08d5,23346632-7754-40db-9b82-90327c8733e1,delivery,2026-06-17T06:43:59.936251Z,2026-06-17T06:43:59.960230Z,24,0,FAILED
d46279af-c098-4b26-9536-3030f406096f,9caa3018-8bcd-4025-b13a-bb490512da56,kitchen,2026-06-17T06:44:00.058369Z,2026-06-17T06:44:00.635630Z,577,0,SUCCESS
2b40a737-4fbf-4550-8add-563cb75f4969,f2a43cb2-1c50-47dc-bda6-1a11e8bc6e95,payment,2026-06-17T06:44:00.119237Z,2026-06-17T06:44:00.576835Z,458,0,SUCCESS
a330aa2c-af36-4860-abb7-cf16a74ec995,9caa3018-8bcd-4025-b13a-bb490512da56,delivery,2026-06-17T06:44:00.430208Z,2026-06-17T06:44:00.436471Z,6,0,FAILED
a04a713f-4726-4f0f-806d-671a414df626,1b34ea49-0138-41a2-b3a6-cdc50079398c,payment,2026-06-17T06:44:00.606918Z,2026-06-17T06:44:00.950602Z,344,0,SUCCESS
fbba967c-3140-46a2-964d-7989f8a7b391,f2a43cb2-1c50-47dc-bda6-1a11e8bc6e95,kitchen,2026-06-17T06:44:00.665340Z,2026-06-17T06:44:01.187294Z,522,0,SUCCESS
cd373ca3-42ca-4351-99da-13ccd4bbcad3,19cbbc2a-9017-4a8c-b54f-6f447823ff82,payment,2026-06-17T06:44:00.980716Z,2026-06-17T06:44:01.263555Z,283,0,SUCCESS
0806ef4d-0ee6-4d28-89c2-f4de216c42ea,f2a43cb2-1c50-47dc-bda6-1a11e8bc6e95,delivery,2026-06-17T06:44:00.983286Z,2026-06-17T06:44:00.989994Z,7,0,FAILED
60dd010d-6267-473b-a4a9-942d454c144d,23346632-7754-40db-9b82-90327c8733e1,delivery,2026-06-17T06:44:01.103258Z,2026-06-17T06:44:01.756858Z,654,1,SUCCESS
c9a67fa5-e38e-4c6f-a036-9c5e412a028c,1b34ea49-0138-41a2-b3a6-cdc50079398c,kitchen,2026-06-17T06:44:01.219652Z,2026-06-17T06:44:01.818678Z,599,0,SUCCESS
c751c345-a925-4e15-a14a-cbe13f0fb462,fe585661-b2ec-40f1-a6a0-5202d26e69be,payment,2026-06-17T06:44:01.279917Z,2026-06-17T06:44:01.651636Z,372,0,SUCCESS
24ee1ff0-6a2e-4c54-a6a0-3dd213b42d73,7c5df795-1f13-48fd-940b-4e7803a6305b,payment,2026-06-17T06:44:01.686798Z,2026-06-17T06:44:02.026275Z,339,0,SUCCESS
27195af2-0bfc-4d80-bafb-403d61474791,9caa3018-8bcd-4025-b13a-bb490512da56,delivery,2026-06-17T06:44:01.786414Z,2026-06-17T06:44:01.790740Z,4,1,FAILED
c84a7f67-e1c8-4f48-8d94-5027fd7bf94c,1b34ea49-0138-41a2-b3a6-cdc50079398c,delivery,2026-06-17T06:44:01.927174Z,2026-06-17T06:44:02.701380Z,774,0,SUCCESS
eee323ca-d796-4fa6-8211-235ba7919661,19cbbc2a-9017-4a8c-b54f-6f447823ff82,kitchen,2026-06-17T06:44:01.939292Z,2026-06-17T06:44:02.440394Z,501,0,SUCCESS
cb3615bd-15d7-4f90-a8c2-773c092a8d33,1ba6ba0d-fbe7-4fe9-83e5-fdb5bf20eeb0,payment,2026-06-17T06:44:02.039299Z,2026-06-17T06:44:02.215162Z,176,0,SUCCESS
186b98f3-e713-41c6-815b-dbb9b781411e,0e098b90-b497-4d9e-a2a0-783126a030d7,payment,2026-06-17T06:44:02.228112Z,2026-06-17T06:44:02.655066Z,427,0,SUCCESS
39db8e5f-b100-48ab-adf7-ebb838102c5a,fe585661-b2ec-40f1-a6a0-5202d26e69be,kitchen,2026-06-17T06:44:02.453545Z,2026-06-17T06:44:02.796989Z,343,0,SUCCESS
092c6093-a351-421b-af91-5f7c19837756,4a6d02c1-ef3d-4bc0-8d72-a2fef87cfa91,payment,2026-06-17T06:44:02.678416Z,2026-06-17T06:44:02.971960Z,294,0,SUCCESS
0370a116-c8c4-4219-abbb-97a0dbf6534a,f2a43cb2-1c50-47dc-bda6-1a11e8bc6e95,delivery,2026-06-17T06:44:02.728115Z,2026-06-17T06:44:02.737827Z,10,1,FAILED
